id,person,category,input_measure,input_size,output_measure,output_size
510,client22,Женские Брюки/Джинсы,Россия,54,Япония,19
511,client22,Женские Брюки/Джинсы,Россия,54,Сша,16
512,client22,Женские Брюки/Джинсы,Россия,54,Великобритания,18
513,client22,Женские Брюки/Джинсы,Россия,54,Франция,46
514,client22,Женские Брюки/Джинсы,Россия,54,Италия,52
515,client23,Мужские Рубашки,Сша/Великобритания,13.5-14,Россия/Европа,35-36
516,client23,Мужские Рубашки,Сша/Великобритания,13.5-14,Международный,XS
517,client23,Мужские Рубашки,Сша/Великобритания,14.5-15,Международный,S
518,client23,Мужские Рубашки,Сша/Великобритания,15,Международный,M
519,client23,Мужские Рубашки,Сша/Великобритания,16-16.5,Международный,L
520,client23,Мужские Рубашки,Сша/Великобритания,17-17.5,Международный,XL
521,client23,Мужские Рубашки,Сша/Великобритания,18-18.5,Международный,XXL
522,client23,Мужские Рубашки,Сша/Великобритания,19-19.5,Международный,XXXL
523,client23,Мужские Рубашки,Сша/Великобритания,19-19.5,Россия/Европа,47-48
524,client23,Мужские Рубашки,Сша/Великобритания,18-18.5,Россия/Европа,45-46
525,client23,Мужские Рубашки,Сша/Великобритания,17-17.5,Россия/Европа,43-44
526,client23,Мужские Рубашки,Сша/Великобритания,16-16.5,Россия/Европа,41-42
527,client23,Мужские Рубашки,Сша/Великобритания,15,Россия/Европа,39-40
528,client23,Мужские Рубашки,Сша/Великобритания,14.5-15,Россия/Европа,37-38
529,client23,Женские Платья/Блузки,Россия,40-42,Великобритания,8-10
530,client23,Женские Платья/Блузки,Россия,40-42,Германия,34-36
531,client23,Женские Платья/Блузки,Россия,40-42,Италия,38-40
532,client23,Женские Платья/Блузки,Россия,40-42,Франция,36-38
533,client23,Женские Платья/Блузки,Россия,40-42,Сша,6-8
534,client23,Женские Платья/Блузки,Россия,40-42,Международный,XS
535,client23,Женские Платья/Блузки,Россия,42-44,Международный,XS-S
536,client23,Женские Платья/Блузки,Россия,42-44,Сша,8-10
537,client23,Женские Платья/Блузки,Россия,42-44,Франция,38-40
538,client23,Женские Платья/Блузки,Россия,42-44,Италия,40-42
539,client23,Женские Платья/Блузки,Россия,42-44,Германия,36-38
540,client23,Женские Платья/Блузки,Россия,42-44,Великобритания,10-12
541,client23,Женские Платья/Блузки,Россия,44-46,Великобритания,12-14
542,client23,Женские Платья/Блузки,Россия,44-46,Германия,38-40
543,client23,Женские Платья/Блузки,Россия,44-46,Италия,42-44
544,client23,Женские Платья/Блузки,Россия,44-46,Франция,40-42
545,client23,Женские Платья/Блузки,Россия,44-46,Сша,10-12
546,client23,Женские Платья/Блузки,Россия,44-46,Международный,S
547,client23,Женские Платья/Блузки,Россия,46-48,Международный,M
548,client23,Женские Платья/Блузки,Россия,46-48,Сша,12-14
549,client23,Женские Платья/Блузки,Россия,46-48,Франция,42-44
550,client23,Женские Платья/Блузки,Россия,46-48,Италия,44-46
551,client23,Женские Платья/Блузки,Россия,46-48,Германия,40-42
552,client23,Женские Платья/Блузки,Россия,46-48,Великобритания,14-16
553,client23,Женские Платья/Блузки,Россия,48-50,Великобритания,16-18
554,client23,Женские Платья/Блузки,Россия,48-50,Германия,42-44
555,client23,Женские Платья/Блузки,Россия,48-50,Италия,46-48
556,client23,Женские Платья/Блузки,Россия,48-50,Франция,44-46
557,client23,Женские Платья/Блузки,Россия,48-50,Сша,14-16
558,client23,Женские Платья/Блузки,Россия,48-50,Международный,M-L
559,client23,Женские Платья/Блузки,Россия,50-52,Международный,L
560,client23,Женские Платья/Блузки,Россия,50-52,Сша,16-18
561,client23,Женские Платья/Блузки,Россия,50-52,Франция,46-48
562,client23,Женские Платья/Блузки,Россия,50-52,Италия,48-50
563,client23,Женские Платья/Блузки,Россия,50-52,Германия,44-46
564,client23,Женские Платья/Блузки,Россия,50-52,Великобритания,18-20
565,client23,Женские Платья/Блузки,Россия,52-54,Великобритания,20-22
566,client23,Женские Платья/Блузки,Россия,52-54,Германия,46-48
567,client23,Женские Платья/Блузки,Россия,52-54,Италия,50-52
568,client23,Женские Платья/Блузки,Россия,52-54,Франция,48-50
569,client23,Женские Платья/Блузки,Россия,52-54,Сша,18-20
570,client23,Женские Платья/Блузки,Россия,52-54,Международный,XL
571,client23,Женские Платья/Блузки,Россия,54-56,Международный,XXL
572,client23,Женские Платья/Блузки,Россия,54-56,Сша,20-22
573,client23,Женские Платья/Блузки,Россия,54-56,Франция,50-52
574,client23,Женские Платья/Блузки,Россия,54-56,Италия,52-54
575,client23,Женские Платья/Блузки,Россия,54-56,Германия,48-50
576,client23,Женские Платья/Блузки,Россия,54-56,Великобритания,22-24
